
Calculating interesting DoY/DoM divisors for a normal year

DoY 	 Mo. 	 Day 	 Interesting divisor
=== 	 === 	 === 	 === 	 ===
1 	 Jan 	 1 	  	 
2 	 Jan 	 2 	  	 
3 	 Jan 	 3 	  	 
4 	 Jan 	 4 	  	 
5 	 Jan 	 5 	  	 
6 	 Jan 	 6 	  	 
7 	 Jan 	 7 	  	 
8 	 Jan 	 8 	  	 
9 	 Jan 	 9 	  	 
10 	 Jan 	 10 	  	 
11 	 Jan 	 11 	  	 
12 	 Jan 	 12 	  	 
13 	 Jan 	 13 	  	 
14 	 Jan 	 14 	  	 
15 	 Jan 	 15 	  	 
16 	 Jan 	 16 	  	 
17 	 Jan 	 17 	  	 
18 	 Jan 	 18 	  	 
19 	 Jan 	 19 	  	 
20 	 Jan 	 20 	  	 
21 	 Jan 	 21 	  	 
22 	 Jan 	 22 	  	 
23 	 Jan 	 23 	  	 
24 	 Jan 	 24 	  	 
25 	 Jan 	 25 	  	 
26 	 Jan 	 26 	  	 
27 	 Jan 	 27 	  	 
28 	 Jan 	 28 	  	 
29 	 Jan 	 29 	  	 
30 	 Jan 	 30 	  	 
31 	 Jan 	 31 	  	 
32 	 Feb 	 1 	  	 
33 	 Feb 	 2 	  	 
34 	 Feb 	 3 	  	 
35 	 Feb 	 4 	  	 
36 	 Feb 	 5 	  	 
37 	 Feb 	 6 	  	 
38 	 Feb 	 7 	  	 
39 	 Feb 	 8 	  	 
40 	 Feb 	 9 	  	 
41 	 Feb 	 10 	  	 
42 	 Feb 	 11 	  	 
43 	 Feb 	 12 	  	 
44 	 Feb 	 13 	  	 
45 	 Feb 	 14 	  	 
46 	 Feb 	 15 	  	 
47 	 Feb 	 16 	  	 
48 	 Feb 	 17 	  	 
49 	 Feb 	 18 	  	 
50 	 Feb 	 19 	  	 
51 	 Feb 	 20 	  	 
52 	 Feb 	 21 	  	 
53 	 Feb 	 22 	  	 
54 	 Feb 	 23 	  	 
55 	 Feb 	 24 	  	 
56 	 Feb 	 25 	  	 
57 	 Feb 	 26 	  	 
58 	 Feb 	 27 	  	 
59 	 Feb 	 28 	  	 
60 	 Mar 	 1 	  	 
61 	 Mar 	 2 	  	 
62 	 Mar 	 3 	  	 
63 	 Mar 	 4 	  	 
64 	 Mar 	 5 	  	 
65 	 Mar 	 6 	  	 
66 	 Mar 	 7 	  	 
67 	 Mar 	 8 	  	 
68 	 Mar 	 9 	  	 
69 	 Mar 	 10 	  	 
70 	 Mar 	 11 	  	 
71 	 Mar 	 12 	  	 
